time[sec],velocity[sec],angle[rad],x[m],y[m],,
9,11.286132,0.170476,40.22633,42.930229,-4988.5290663395,
9.03,11.211892,0.173469,40.48167,42.715408,-4988.4618717131,
9.06,11.137653,0.1761,40.737011,42.500595,-1318.4929598561,
9.09,11.118031,0.178614,40.983669,42.277336,-1318.5601544826,
9.12,11.098408,0.181403,41.230328,42.054085,2134.1013354922,
9.15,11.130168,0.183663,41.469212,41.821198,2134.1013354922,
9.18,11.161928,0.185894,41.708096,41.588318,3609.9641104529,
9.21,11.215652,0.187301,41.940014,41.344688,3609.9641104528,
9.24,11.269376,0.188562,42.17194,41.101067,3609.8969158264,
9.27,11.323099,0.189447,42.403858,40.857445,4462.5967252533,
9.3,11.389512,0.189302,42.625721,40.59758,4462.5295306268,
9.33,11.455924,0.189266,42.847584,40.337723,4735.4741031952,
9.36,11.526398,0.188474,43.062214,40.066551,4735.4069085687,
9.39,11.596871,0.187786,43.276852,39.795387,4943.1726934976,
9.42,11.670436,0.186421,43.484074,39.513168,4943.1054988711,
9.45,11.744,0.185259,43.691296,39.230949,5220.1489436519,
9.48,11.821687,0.183476,43.890842,38.937782,5220.0145543989,
9.51,11.899372,0.18198,44.090397,38.644615,5369.9257659697,
9.54,11.979288,0.179899,44.281994,38.340622,5369.8585713432,
9.57,12.059203,0.178157,44.473591,38.036629,5368.7162626939,
9.6,12.139101,0.17588,44.656902,37.722038,5368.7162626939,
9.63,12.218999,0.173979,44.840214,37.407448,5461.5792364234,
9.66,12.300279,0.171587,45.014896,37.082512,5461.4448471706,
9.69,12.381557,0.169607,45.189579,36.757576,5517.4179709887,
9.72,12.463668,0.167164,45.355312,36.422531,5517.2835817358,
9.75,12.545777,0.165147,45.521053,36.087494,5357.4275654533,
9.78,12.625507,0.162699,45.677486,35.742676,5357.2931762003,
9.81,12.705235,0.160679,45.83392,35.397858,5308.0395150255,
9.84,12.78423,0.158269,45.980701,35.043655,5113.2422929979,
9.87,12.860326,0.155958,46.121044,34.683723,5113.1079037451,
9.9,12.93642,0.153991,46.261387,34.323784,5059.016229467,
9.93,13.011709,0.151762,46.392742,33.956299,5058.9490348406,
9.96,13.086997,0.149919,46.524097,33.588821,4689.5129787154,
9.99,13.156787,0.14778,46.645344,33.213501,4689.5129787155,
10.02,13.226577,0.146024,46.766582,32.838181,4398.8290247689,
10.05,13.292041,0.144001,46.877125,32.45536,4398.7618301426,
10.08,13.357504,0.142353,46.987667,32.072548,4074.346173727,
10.11,13.418139,0.140468,47.087116,31.682756,4074.346173727,
10.14,13.478774,0.138935,47.186558,31.292967,3382.9806623644,
10.17,13.52912,0.137214,47.27457,30.896955,3382.9806623643,
10.2,13.579466,0.1358,47.362583,30.500952,3305.4380634613,
10.23,13.628658,0.134242,47.438892,30.099432,2902.9422511315,
10.26,13.67186,0.132819,47.507717,29.694857,2902.875056505,
10.29,13.715061,0.131622,47.576534,29.290285,2231.4663491927,
10.32,13.74827,0.130372,47.634846,28.882105,2231.4663491927,
10.35,13.781479,0.129324,47.693157,28.473925,1820.1008461738,
10.38,13.808566,0.128239,47.739727,28.062471,1820.0336515472,
10.41,13.835652,0.127343,47.786297,27.651022,1201.1711421052,
10.44,13.853528,0.126429,47.820644,27.236959,1201.1711421051,
10.47,13.871404,0.125672,47.854992,26.822901,674.4996601282,
10.5,13.881442,0.124936,47.876919,26.407091,25.6011526708,
10.53,13.881823,0.124316,47.890942,25.990919,25.5339580443,
10.56,13.882203,0.12377,47.904957,25.574751,-181.358296741,
10.59,13.879504,0.123332,47.908161,25.158518,-181.3582967411,
10.62,13.876805,0.122957,47.911358,24.742285,-972.4406337293,
10.65,13.862333,0.122717,47.902607,24.326925,-972.4406337293,
10.68,13.847861,0.122446,47.893856,23.911566,-1542.6542336344,
10.71,13.824903,0.122361,47.87286,23.497946,-1542.5870390081,
10.74,13.801946,0.122228,47.851864,23.084326,-2187.4538688795,
10.77,13.769392,0.122324,47.818661,22.673395,-2434.1925371391,
10.8,13.733166,0.122461,47.777706,22.264669,-2434.2597317656,
10.83,13.696939,0.122556,47.736744,21.855947,-2831.9175309924,
10.86,13.654794,0.122894,47.685429,21.450701,-2831.9847256189,
10.89,13.612648,0.123124,47.634113,21.045454,-3510.9192310916,
10.92,13.560398,0.123649,47.571583,20.644854,-3510.9192310915,
10.95,13.508148,0.123996,47.509045,20.244257,-3739.4481555881,
10.98,13.452497,0.124662,47.435154,19.848967,-3739.3809609616,
11.01,13.396847,0.125166,47.361256,19.453676,-4175.2053080019,
11.04,13.334711,0.126015,47.276173,19.064444,-4175.1381133756,
11.07,13.272576,0.126648,47.19109,18.675215,-4683.8014354687,
11.1,13.202871,0.127654,47.095135,18.292826,-4683.7342408422,
11.13,13.133167,0.12841,46.999172,17.91044,-4688.6394485718,
11.16,13.06339,0.129545,46.892612,17.53525,-5093.5542674533,
11.19,12.987587,0.130761,46.779385,17.165312,-5093.5542674532,
11.22,12.911784,0.131742,46.666157,16.795374,-4981.003268179,
11.25,12.837656,0.133069,46.544079,16.432508,-4980.9360735527,
11.28,12.763529,0.134181,46.422001,16.069643,-5468.5674775723,
11.31,12.682145,0.135693,46.2906,15.715147,-5468.500282946,
11.34,12.600762,0.136882,46.159199,15.360655,-5263.4222830743,
11.37,12.522431,0.138477,46.018429,15.014856,-5263.3550884478,
11.4,12.444101,0.139819,45.877666,14.669058,-5432.3495739253,
11.43,12.363256,0.141569,45.727795,14.332457,-5432.2151846724,
11.46,12.282413,0.142998,45.57793,13.995859,-5424.7565811384,
11.49,12.201681,0.144844,45.419262,13.668756,-5424.689386512,
11.52,12.12095,0.146376,45.260593,13.341658,-5354.2022233845,
11.55,12.041268,0.148316,45.09341,13.024282,-5354.0678341316,
11.58,11.961588,0.149951,44.926228,12.706911,-5157.9267195756,
11.61,11.884827,0.151973,44.750782,12.399397,-5157.993914202,
11.64,11.808065,0.153692,44.575336,12.091883,-5073.3958795235,
11.67,11.732562,0.155793,44.391926,11.794436,-5073.3958795235,
11.7,11.657059,0.157572,44.208515,11.496992,-4882.4287512028,
11.73,11.584398,0.159714,44.017384,11.209749,-4882.2943619499,
11.76,11.511739,0.161552,43.82626,10.922506,-4516.4196210256,
11.79,11.444525,0.163714,43.627567,10.64546,-4516.4196210256,
11.82,11.377311,0.165604,43.428875,10.368414,-4402.5919238492,
11.85,11.311791,0.167803,43.222912,10.10177,-4402.5247292227,
11.88,11.246272,0.169686,43.016956,9.835127,-4402.4575345962,
11.91,11.180754,0.171412,42.811001,9.568487,-3458.0370600893,
11.94,11.129291,0.173582,42.594494,9.316565,-3458.1042547158,
11.97,11.077827,0.17555,42.377987,9.064646,373.8037068433,
12,11.08339,0.177301,42.152126,8.820913,373.8037068433,
12.03,11.088953,0.179379,41.926273,8.577181,3850.252094575,
12.06,11.146253,0.180807,41.68996,8.340559,3850.1848999487,
12.09,11.203552,0.182231,41.453648,8.103941,5070.3049267077,
12.12,11.279009,0.182714,41.2057,7.873594,5070.2377320812,
12.15,11.354465,0.183119,40.95776,7.643248,5482.5439598703,
12.18,11.436057,0.18261,40.69791,7.419172,5482.4767652438,
12.21,11.517648,0.182132,40.438061,7.195097,5571.5096452668,
12.24,11.600564,0.180853,40.166386,6.977591,5571.4424506403,
12.27,11.683479,0.179625,39.894718,6.760084,5592.6759525929,
12.3,11.76671,0.17773,39.611469,6.549496,5592.6087579665,
12.33,11.84994,0.175868,39.32822,6.338909,5598.0515227076,
12.36,11.933251,0.173473,39.033688,6.135548,5598.0515227076,
12.39,12.016562,0.171102,38.739159,5.932186,5599.4626098626,
12.42,12.099894,0.168315,38.433678,5.736303,5599.4626098625,
12.45,12.183226,0.165534,38.128201,5.540422,5599.7985829948,
12.48,12.266563,0.162443,37.812126,5.352211,5599.7985829948,
12.51,12.3499,0.159338,37.496052,5.164001,5600.0001668741,
12.54,12.43324,0.156018,37.16975,4.983593,5599.9329722477,
12.57,12.516579,0.152676,36.843449,4.803185,5599.8657776212,
12.6,12.599917,0.149204,36.507294,4.630653,5599.9329722477,
12.63,12.683256,0.145699,36.171139,4.458124,5600.0001668741,
12.66,12.766596,0.142133,35.825497,4.293491,5600.0001668741,
12.69,12.849936,0.138526,35.479858,4.128859,5599.9329722477,
12.72,12.933275,0.134919,35.125103,3.972099,5599.9329722477,
12.75,13.016614,0.131278,34.770351,3.81534,5599.9329722476,
12.78,13.099953,0.127692,34.406834,3.666389,5599.8657776213,
12.81,13.183291,0.124057,34.04332,3.517439,5600.0001668741,
12.84,13.266631,0.120514,33.671375,3.37619,5599.9329722477,
12.87,13.34997,0.116932,33.299431,3.234943,5600.0001668741,
12.9,13.43331,0.113479,32.919388,3.101273,5599.8657776212,
12.93,13.516648,0.109975,32.539345,2.967602,5599.9329722477,
12.96,13.599987,0.10662,32.151501,2.841349,5599.9329722476,
12.99,13.683326,0.103227,31.763657,2.715096,5599.9329722477,
13.02,13.766665,0.100002,31.368298,2.596083,5599.9329722477,
13.05,13.850004,0.096745,30.972939,2.477072,5600.0001668741,
13.08,13.933344,0.093671,30.57032,2.365114,5600.0001668741,
13.11,14.016684,0.090549,30.167706,2.253159,5599.9329722477,
13.14,14.100023,0.087618,29.758072,2.148052,5600.0001668741,
13.17,14.183363,0.084645,29.348442,2.042948,5600.0001668741,
13.2,14.266703,0.081865,28.932022,1.944487,5599.8657776212,
13.23,14.350041,0.07905,28.515606,1.846025,5600.0001668742,
13.26,14.433381,0.076426,28.092583,1.75399,5599.9329722476,
13.29,14.51672,0.073756,27.669563,1.661955,5600.0001668741,
