time [sec],velocity [m/s],angle [rad],x[m],y [m],Torque,,,
5.400006,15.001218,1.26141E-005,34.734192,20.840515,5600.0001668741,,,2581.4030769231
5.430007,15.084558,0.000003326,35.119308,21.071564,5600.0673615006,,,2581.4340512821
5.460007,15.167899,-5.92854E-006,35.510841,21.306488,5600.0673615004,,,2581.434051282
5.490007,15.25124,-9.00736E-006,35.902374,21.541412,5600.0001668742,,,2581.4030769231
5.520007,15.33458,-1.20862E-005,36.293907,21.776337,5600.0001668741,,,2581.4030769231
5.550007,15.41792,-1.50313E-005,36.691826,22.015076,5600.0673615004,,,2581.434051282
5.580008,15.501261,-1.99582E-005,37.089745,22.253845,5600.0001668741,,,2581.4030769231
5.610008,15.584601,-1.41474E-005,37.487671,22.492584,5600.0673615006,,,2581.4340512821
5.640008,15.667942,-1.89291E-005,37.891968,22.735168,5600.0673615006,,,2581.4340512821
5.670008,15.751283,-3.49838E-006,38.296257,22.977753,5600.0001668741,,,2581.4030769231
5.700008,15.834623,1.03493E-005,38.700554,23.220337,5600.0673615004,,,2581.434051282
5.730009,15.917964,2.41107E-005,39.111221,23.466736,5600.0673615004,,,2581.434051282
5.760009,16.001305,1.11703E-005,39.521881,23.713135,5600.0673615006,,,2581.4340512821
5.790009,16.084646,-1.40591E-005,39.932549,23.959534,5600.1345561271,,,2581.4650256411
5.820009,16.167988,-2.53313E-005,40.349564,24.209747,5600.0001668741,,,2581.4030769231
5.850009,16.251328,-1.66769E-005,40.766579,24.459961,5600.0673615006,,,2581.4340512821
5.88001,16.334669,-7.93573E-006,41.183601,24.710175,5600.0001668741,,,2581.4030769231
5.91001,16.418009,0,41.606979,24.964203,5600.0673615003,,,2581.434051282
5.94001,16.50135,6.49677E-006,42.030357,25.218231,5600.1345561271,,,2581.4650256411
5.97001,16.584692,1.38356E-005,42.453735,25.47226,5600.0001668741,,,2581.4030769231
6.00001,16.668032,1.94209E-005,42.883476,25.730103,5600.0673615006,,,2581.4340512821
6.030011,16.751373,2.50113E-006,43.313217,25.987946,5600.1345561268,,,2581.465025641
6.060011,16.834715,-3.97939E-006,43.742966,26.245789,5600.0001668741,,,2581.4030769231
6.090011,16.918055,-1.03527E-005,44.17907,26.507446,5599.9329722478,,,2581.3721025642
6.120011,17.001394,-3.33607E-006,44.615173,26.769104,5600.1345561268,,,2581.465025641
6.150012,17.084736,3.58463E-006,45.051285,27.030762,5600.0001668741,,,2581.4030769231
6.180012,17.168076,0.00001054,45.493767,27.296234,5600.0673615006,,,2581.4340512821
6.210012,17.251417,-8.36808E-006,45.936256,27.561737,5600.0001668741,,,2581.4030769231
6.240012,17.334757,-1.68628E-005,46.378746,27.827209,5600.0001668741,,,2581.4030769231
6.270012,17.418097,-2.37837E-005,46.827621,28.096527,5599.9329722478,,,2581.3721025642
6.300013,17.501436,-2.33955E-005,47.276497,28.365875,5600.1345561268,,,2581.465025641
6.330013,17.584778,-2.27812E-005,47.725372,28.635193,5600.0001668741,,,2581.4030769231
6.360013,17.668118,-1.20159E-005,48.180664,28.908386,5599.9329722476,,,2581.3721025641
6.390013,17.751457,-1.26247E-005,48.635948,29.181549,5600.0001668741,,,2581.4030769231
6.420013,17.834797,-1.32132E-005,49.095932,29.45755,5600.1345561271,,,2581.4650256411
6.450014,17.918139,-0.000001761,49.555916,29.733551,5600.0673615006,,,2581.4340512821
6.480014,18.00148,8.18565E-006,50.0159,30.009552,5600.0001668741,,,2581.4030769231
6.510014,18.08482,1.79402E-005,50.481834,30.289093,5600.0673615006,,,2581.4340512821
6.540014,18.168161,0,50.947769,30.568634,5600.1345561268,,,2581.465025641
6.570014,18.251503,-1.55091E-005,51.413704,30.848206,5600.0001668741,,,2581.4030769231
6.600015,18.334843,-3.12536E-005,51.885971,31.131592,5600.0673615006,,,2581.4340512821
6.630015,18.418184,-1.96536E-005,52.358238,31.414948,5600.1345561268,,,2581.465025641
6.660015,18.501526,-9.67048E-006,52.830513,31.698334,5600.0001668743,,,2581.4030769232
6.690015,18.584866,0,53.309265,31.985596,5599.9329722476,,,2581.3721025641
6.720016,18.668205,0,53.788017,32.272827,5600.1345561268,,,2581.465025641
6.750016,18.751547,0,54.271309,32.562805,5600.0001668741,,,2581.4030769231
6.780016,18.834887,1.81671E-006,54.754601,32.852783,5600.0673615006,,,2581.4340512821
6.810016,18.918228,1.44071E-006,55.237892,33.142761,5600.0001668741,,,2581.4030769231
6.840016,19.001568,2.65906E-006,55.727249,33.436371,5600.0001668741,,,2581.4030769231
6.870017,19.084908,1.39712E-005,56.216614,33.72998,5599.9329722478,,,2581.3721025642
6.900017,19.168247,2.50825E-005,56.710579,34.026367,5600.1345561268,,,2581.465025641
6.930017,19.251589,1.60257E-005,57.204544,34.322723,5600.0673615006,,,2581.4340512821
6.960017,19.33493,-3.03723E-006,57.698517,34.61911,5600.0001668741,,,2581.4030769231
6.990017,19.41827,-9.12557E-006,58.198502,34.919098,5600.0001668741,,,2581.4030769231
7.020018,19.50161,-1.56951E-006,58.698486,35.219086,5599.9329722478,,,2581.3721025642
7.050018,19.584949,0.000004526,59.203087,35.521851,5600.1345561268,,,2581.465025641
7.080018,19.668291,1.16811E-006,59.707687,35.824615,5600.1345561271,,,2581.4650256411
7.110018,19.751633,-2.18935E-006,60.212296,36.12735,5599.9329722476,,,2581.3721025641
7.140018,19.834972,-4.0359E-006,60.722923,36.433716,5600.1345561268,,,2581.465025641
7.170019,19.918314,-1.41844E-005,61.233559,36.740112,5600.0001668741,,,2581.4030769231
7.200019,20.001654,-0.000024136,61.748779,37.049255,5600.0673615006,,,2581.4340512821
7.230019,20.084995,-0.000113896,62.264,37.358398,5600.1345561271,,,2581.4650256411
7.260019,20.168337,-0.000188188,62.779221,37.667542,5600.0001668741,,,2581.4030769231
7.29002,20.251677,-0.000248294,63.300461,37.980438,5599.9329722476,,,2581.3721025641
7.32002,20.335016,-0.000645528,63.821701,38.293365,5600.0001668741,,,2581.4030769231
7.35002,20.418356,-0.000947854,64.347237,38.609375,5600.1345561271,,,2581.4650256411
7.38002,20.501698,-0.00150612,64.87278,38.925385,5600.0673615003,,,2581.434051282
7.41002,20.585039,-0.00193528,65.398323,39.241394,5600.0001668743,,,2581.4030769232
7.440021,20.668379,-0.00225753,65.92952,39.562042,5600.0673615003,,,2581.434051282
7.470021,20.75172,-0.00295406,66.460709,39.88269,5600.0001668741,,,2581.4030769231
7.500021,20.83506,-0.00348734,66.995682,40.207001,5600.0001668741,,,2581.4030769231
7.530021,20.9184,-0.00426545,67.530663,40.531311,5600.0001668743,,,2581.4030769232
7.560021,21.00174,-0.00484079,68.069176,40.859589,5600.0673615003,,,2581.434051282
7.590022,21.085081,-0.00562538,68.607689,41.187897,5600.1345561271,,,2581.4650256411
7.620022,21.168423,-0.0062371,69.146202,41.516174,5599.9329722476,,,2581.3721025641
7.650022,21.251762,-0.00666362,69.689438,41.850494,5600.0001668741,,,2581.4030769231
7.680022,21.335102,-0.00750161,70.232674,42.184814,5600.1345561271,,,2581.4650256411
7.710022,21.418444,-0.00810849,70.778999,42.523895,5599.9329722476,,,2581.3721025641
7.740023,21.501783,-0.00899341,71.325325,42.862946,5600.1345561271,,,2581.4650256411
7.770023,21.585125,-0.00962797,71.874443,43.207062,5600.0001668741,,,2581.4030769231
7.800023,21.668465,-0.0105171,72.423569,43.551178,5599.9329722476,,,2581.3721025641
7.830023,21.751804,-0.0111468,72.975235,43.900665,5600.1345561271,,,2581.4650256411
7.860023,21.835146,-0.0120431,73.526901,44.250153,5600.0001668741,,,2581.4030769231
7.890024,21.918486,-0.0127272,74.078575,44.59964,5599.9329722476,,,2581.3721025641
7.920024,22.001825,-0.0131575,74.633507,44.957336,5600.1345561268,,,2581.465025641
7.950024,22.085167,-0.0141314,75.188446,45.315002,5600.1345561271,,,2581.4650256411
7.980024,22.168509,-0.014792,75.745331,45.679077,5599.9329722476,,,2581.3721025641
8.010024,22.251848,-0.0157511,76.302216,46.043182,5600.0001668741,,,2581.4030769231
8.040024,22.335188,-0.016392,76.860695,46.41394,5600.0001668741,,,2581.4030769231
8.070024,22.418528,-0.0173775,77.419174,46.784698,5599.9329722478,,,2581.3721025642
8.100023,22.501867,-0.0180468,77.978928,47.162537,5600.0001668741,,,2581.4030769231
8.130023,22.585207,-0.019023,78.538681,47.540375,5600.0001668741,,,2581.4030769231
8.160023,22.668547,-0.0196678,79.099365,47.925659,5599.7985829948,,,2581.3101538462
8.190022,22.751884,-0.0206862,79.660049,48.310974,5600.0001668741,,,2581.4030769231
8.220022,22.835224,-0.0213534,80.221298,48.704193,5600.0001668741,,,2581.4030769231
8.250022,22.918564,-0.0223936,80.782547,49.097382,5599.8657776213,,,2581.3411282052
8.280022,23.001902,-0.0231708,81.343781,49.490601,5599.9329722476,,,2581.3721025641
8.310021,23.085241,-0.0235828,81.905273,49.896088,5599.8657776213,,,2581.3411282052
8.340021,23.168579,-0.0247106,82.466766,50.301575,5600.0001668741,,,2581.4030769231
8.370021,23.251919,-0.0254384,83.027832,50.716187,5599.8657776211,,,2581.3411282051
8.400021,23.335257,-0.0265804,83.588898,51.130798,5599.9329722478,,,2581.3721025642
8.43002,23.418596,-0.0272998,84.149078,51.554901,5600.0001668741,,,2581.4030769231
8.46002,23.501936,-0.028447,84.709244,51.979034,5599.8657776211,,,2581.3411282051
8.49002,23.585274,-0.0291651,85.268021,52.413147,5599.9329722478,,,2581.3721025642
8.52002,23.668613,-0.0303123,85.826797,52.84726,5600.0001668741,,,2581.4030769231
8.550019,23.751953,-0.0310155,86.383652,53.29184,5599.8657776213,,,2581.3411282052
8.580019,23.835291,-0.0321817,86.940506,53.73642,5600.0001668741,,,2581.4030769231
8.610019,23.918631,-0.0328771,87.494888,54.191956,5599.7985829948,,,2581.3101538462
8.640018,24.001968,-0.0340812,88.049271,54.647461,3210.0216939273,,,1479.707076923
8.670018,24.04974,-0.034806,88.600571,55.114471,3209.820110048,,,1479.6141538461
8.700018,24.097509,-0.0360201,89.151886,55.581451,-12083.004919696,,,-5569.8402051282
8.730018,23.917688,-0.0370911,89.692078,56.053925,-12082.870530443,,,-5569.7782564102
8.760017,23.737869,-0.0382053,90.232254,56.526398,-13670.9483315458,,,-6301.8262564103
8.790017,23.534416,-0.039552,90.75589,56.999847,-13670.9483315458,,,-6301.8262564103
8.820017,23.330963,-0.0405452,91.279526,57.473328,-13824.4880529438,,,-6372.6026666667
8.850017,23.125225,-0.0418604,91.785965,57.947144,-13824.3536636911,,,-6372.5407179488
8.880016,22.919489,-0.0427384,92.292389,58.42099,-12946.5902586048,,,-5967.9226666666
8.910016,22.726816,-0.0439869,92.781784,58.895172,-12946.455869352,,,-5967.8607179487
8.940016,22.534145,-0.0447942,93.271194,59.369354,-12667.2621965255,,,-5839.1622564103
8.970016,22.345629,-0.0459766,93.743866,59.843994,-12667.3293911517,,,-5839.1932307692
9.000015,22.157112,-0.0466956,94.216537,60.318634,-11188.5772472548,,,-5157.5405128206
