time[sec],velocity[sec],angle[rad],x[m],y[m],
14.52,5,0.097265,27.123966,48.171669,
14.55,5,0.097591,27.27243,48.150291,
14.58,5,0.097888,27.420898,48.128922,
14.61,5,0.098162,27.569363,48.107544,
14.64,5,0.098413,27.717346,48.083054,
14.67,5,0.09881,27.86533,48.058563,
14.7,5,0.099178,28.013313,48.034073,
14.73,5,0.099517,28.161297,48.009583,
14.76,5,0.09983,28.309277,47.985085,
14.79,5,0.100117,28.456699,47.95742,
14.82,5,0.10059,28.604122,47.929756,
14.85,5,0.101024,28.751545,47.9021,
14.88,5,0.101429,28.898968,47.874435,
14.91,5,0.101802,29.046394,47.846779,
14.94,5,0.10214,29.193172,47.81588,
14.97,5,0.102683,29.339951,47.784981,
15,5,0.103184,29.486732,47.754082,
15.03,5,0.103645,29.633511,47.72319,
15.06,5,0.104069,29.780289,47.692291,
15.09,5,0.104464,29.926331,47.658089,
15.12,5,0.105076,30.072372,47.623886,
15.15,5,0.105639,30.218414,47.589684,
15.18,5,0.106157,30.36446,47.555481,
15.21,5,0.106636,30.510502,47.521271,
15.24,5,0.107078,30.655712,47.483681,
15.27,5,0.107753,30.800922,47.446091,
15.3,5,0.108378,30.946133,47.408508,
15.33,5,0.108955,31.091339,47.370918,
15.36,5,0.109485,31.236549,47.333336,
15.39,5,0.109971,31.380817,47.292282,
15.42,5,0.110723,31.525085,47.251228,
15.45,5,0.111418,31.669353,47.210182,
15.48,5,0.112055,31.813622,47.169128,
15.51,5,0.112644,31.95789,47.128082,
15.54,5,0.113186,32.101097,47.083481,
15.57,5,0.114004,32.244305,47.038879,
15.6,5,0.114764,32.387512,46.994278,
15.63,5,0.115464,32.53072,46.949677,
15.66,5,0.116108,32.673927,46.905067,
15.69,5,0.1167,32.815952,46.856819,
15.72,5,0.117597,32.957977,46.808578,
15.75,5,0.118425,33.099998,46.76033,
15.78,5,0.119187,33.24202,46.71209,
15.81,5,0.11989,33.384045,46.663841,
15.84,5,0.120537,33.524742,46.611862,
15.87,5,0.121511,33.66544,46.559875,
15.9,5,0.122407,33.806137,46.507896,
15.93,5,0.123231,33.946838,46.455917,
15.96,5,0.123994,34.087536,46.403931,
15.99,5,0.124693,34.226757,46.348114,
16.02,5,0.12574,34.365978,46.292297,
16.05,5,0.126704,34.505199,46.236473,
16.08,5,0.127595,34.644424,46.180656,
16.11,5,0.128418,34.783649,46.124832,
16.14,5,0.129171,34.92123,46.065079,
16.17,5,0.130295,35.058811,46.005318,
16.2,5,0.131328,35.196392,45.945557,
16.23,5,0.132285,35.333977,45.885796,
16.26,5,0.133161,35.471561,45.826042,
16.29,5,0.133971,35.607319,45.762245,
16.32,5,0.135173,35.743076,45.698448,
16.35,5,0.136284,35.878834,45.634651,
16.38,5,0.137306,36.014591,45.570854,
16.41,5,0.13825,36.148674,45.503624,
16.44,5,0.139503,36.282757,45.436394,
16.47,5,0.140656,36.41684,45.369164,
